title,place,year,author,birth_year,death_year,xml_file_name,url
Bondens Søn ; Vadmelsfolk ; Vredens Børn. - 1919.,København,1918,"Aakjær, Jeppe.",1866,1930,aakjaer06val.xml,https://tekster.kb.dk/text/adl-texts-aakjaer06val-root
Digte 1885-1908. - 1918.,København,1918,"Aakjær, Jeppe.",1866,1930,aakjaer01val.xml,https://tekster.kb.dk/text/adl-texts-aakjaer01val-root
Digte 1908-1918. - 1918.,København,1918,"Aakjær, Jeppe.",1866,1930,aakjaer02val.xml,https://tekster.kb.dk/text/adl-texts-aakjaer02val-root
Udvalgte Skrifter.,København,1928,"Bagger, Carl.",1807,1846,bagger01val.xml,https://tekster.kb.dk/text/adl-texts-bagger01val-root
Eventyr og Fortællinger. - 1889.,København,1889,"Baggesen, Jens.",1764,1826,baggesen01val.xml,https://tekster.kb.dk/text/adl-texts-baggesen01val-root
"Riimbreve og poetiske Epistler. 1. Samling, 1784-1808. - 1890.",København,1889,"Baggesen, Jens.",1764,1826,baggesen02val.xml,https://tekster.kb.dk/text/adl-texts-baggesen02val-root
Fædra. Brudstykker af et livs historie.,København,1883,"Bang, Herman.",1857,1912,bang11val.xml,https://tekster.kb.dk/text/adl-texts-bang11val-root
Værker i Mindeudgave.,København,1920,"Bang, Herman.",1857,1912,bang01val.xml,https://tekster.kb.dk/text/adl-texts-bang01val-root
Værker i Mindeudgave.,København,1920,"Bang, Herman.",1857,1912,bang02val.xml,https://tekster.kb.dk/text/adl-texts-bang02val-root
Værker i Mindeudgave.,København,1920,"Bang, Herman.",1857,1912,bang03val.xml,https://tekster.kb.dk/text/adl-texts-bang03val-root
Værker i Mindeudgave.,København,1920,"Bang, Herman.",1857,1912,bang04val.xml,https://tekster.kb.dk/text/adl-texts-bang04val-root
Værker i Mindeudgave.,København,1920,"Bang, Herman.",1857,1912,bang05val.xml,https://tekster.kb.dk/text/adl-texts-bang05val-root
Værker i Mindeudgave.,København,1920,"Bang, Herman.",1857,1912,bang06val.xml,https://tekster.kb.dk/text/adl-texts-bang06val-root
"Poetiske Skrifter, 1-7 - Bind II.",København,1905,"Bergsøe, Vilhelm.",1835,1911,bergsoe02.xml,https://tekster.kb.dk/text/adl-texts-bergsoe02-root
Det unge Blod.,København,1899,"Brandes, Edvard.",1847,1931,brandesed_06.xml,https://tekster.kb.dk/text/adl-texts-brandesed_06-root
En Forlovelse.,København,1884,"Brandes, Edvard.",1847,1931,brandesed_10.xml,https://tekster.kb.dk/text/adl-texts-brandesed_10-root
En Politiker.,København,1889,"Brandes, Edvard.",1847,1931,brandesed_04.xml,https://tekster.kb.dk/text/adl-texts-brandesed_04-root
Et Besøg.,København,1882,"Brandes, Edvard.",1847,1931,brandesed_08.xml,https://tekster.kb.dk/text/adl-texts-brandesed_08-root
