word1,word2,count
o,gud,95
imod,gud,83
store,gud,47
takke,gud,38
frygte,gud,35
herre,gud,32
jordens,guder,31
imod,guds,31
gode,gud,29
sande,gud,28
sande,guds,21
frygter,gud,21
elske,gud,21
tiene,gud,19
bede,gud,19
kiende,gud,18
retfærdige,gud,17
almægtige,gud,16
gudernes,gud,16
sand,gudsfrygt,16
imellem,gud,15
israels,gud,15
behage,gud,14
næst,gud,14
giver,gud,14
himlens,gud,13
frygt,gud,13
jacobs,gud,13
hvilke,gud,13
hvilken,gud,12
takkede,gud,11
høre,guds,11
eders,gud,11
hellige,gud,11
saligheds,gud,11
vores,gud,11
takker,gud,10
sige,gud,10
kaldes,guds,10
skylder,gud,10
alvidende,gud,10
prise,gud,10
folk,gud,10
naadig,gud,9
hvilket,gud,9
elsker,gud,9
jordisk,gud,9
erkiende,gud,9
ære,gud,9
sande,gudsfrygt,9
treenige,gud,9
sagde,gud,8
evige,gud,8
retfærdig,gud,8
næst,guds,8
hører,guds,8
beder,gud,8
hvorledes,gud,8
store,guds,8
2,guds,8
fredens,gud,8
fædres,gud,8
levende,guds,7
hr,gudman,7
dersom,gud,7
fortørne,gud,7
arve,guds,7
tage,guds,7
general,gude,7
tak,gud,7
naadige,gud,7
ney,gud,7
jacobs,guds,7
hellige,guds,7
hvorved,gud,7
ofrer,gud,7
ligne,gud,7
ofre,gud,7
nemlig,guds,6
lod,gud,6
nei,gud,6
lader,gud,6
offentlige,guds,6
skylde,gud,6
langmodige,gud,6
gav,gud,6
paakalde,gud,6
dyrke,gud,6
høre,gud,6
ævige,gud,6
levende,gud,6
tækkes,gud,6
sand,gud,5
frygtede,gud,5
betragte,guds,5
saadanne,guds,5
ak,gud,5
hvilken,guds,5
hvilke,guds,5
almægtige,guds,5
velsigne,gud,5
befordre,guds,5
fromme,gud,5
guders,gud,5
tid,gud,5
barmhjertige,gud,5
jakobs,gud,5
bærer,guds,5
naturlige,guds,5
hvortil,gud,5
tilbede,gud,5
kiende,guds,5
folk,guds,5
jordens,gud,5
iblant,guds,5
velstand,gud,4
nyde,guds,4
redde,guds,4
efterdi,gud,4
seet,guds,4
opfylde,guds,4
blant,guderne,4
hvem,gud,4
frelses,gud,4
hørte,guds,4
skabte,gud,4
uforfalsket,gudsfrygt,4
forlade,guds,4
naade,gud,4
1,guds,4
priser,gud,4
dets,guddommelighed,4
bespotte,gud,4
formedelst,guds,4
mishage,gud,4
prisede,gud,4
sand,guds,4
foragte,guds,4
fortørnet,gud,4
besynderlige,guds,4
grundgode,gud,4
betragter,guds,4
mon,gud,4
foragte,gud,4
elskovs,gud,4
viise,gud,4
opnaae,guds,4
skriftens,guddommelighed,4
fader,gud,4
2,gud,4
5,gud,4
adlyde,gud,4
aabenbarede,guds,4
lover,gud,4
fremmede,guder,4
6,gud,4
ret,gudelig,4
saae,guds,4
4,gud,4
vild,gud,4
hensigt,gud,4
faders,gud,4
hierte,gud,4
hevn,guds,4
forbyde,gud,4
jorden,guds,3
udvortes,guds,3
magt,gud,3
udvortes,gudstjeneste,3
godheds,gud,3
retfærdigste,gud,3
hvorved,guds,3
tiener,gud,3
vær,gud,3
naadens,gud,3
hielp,gud,3
dens,guddommelighed,3
9,gud,3
kiender,gud,3
vise,guds,3
leve,gud,3
vore,guds,3
7,guds,3
hvormed,gud,3
pryde,guds,3
ti,guds,3
7,gud,3
vore,gudslærere,3
just,guds,3
jordiske,guder,3
giort,gud,3
stor,guds,3
offentlig,guds-tieneste,3
o,guds,3
giv,gud,3
seer,gud,3
tvertimod,guds,3
siæl,gud,3
forbarmende,gud,3
blant,guds,3
16,gud,3
rette,gud,3
15,gud,3
trofaste,gud,3
hensigt,guds,3
imellem,guds,3
imellem,gudfrygtige,3
troe,gud,3
rette,guds,3
god,gud,3
nærværende,gud,3
foragtede,guds,3
igiennem,guds,3
længe,guds,3
20,gud,3
live,gud,3
bevæge,gud,3
christum,gud,3
pagtes,gud,3
taler,guds,3
fattes,guds,3
føle,guds,3
stamme,gud,3
gode,guds,3
ære,guds,3
udbrede,guds,3
tillader,gud,3
ærer,gud,3
staaer,guds,3
hører,gud,3
tillod,gud,3
sandt,gud,3
æret,gud,3
sandt,guds,3
9,gudinder,3
brud,gud,3
oprigtighed,gudsfrygts,3
opofre,gud,3
anraabe,gud,3
