docid,left_context,keyword,right_context
1.5.1- side 39,enhver bonde havde sin,jord,for sig selv afdeelt
1.5.1- side 40,han skal giøde sin,jord,ei bortføre mere end
1.5.1- side 40,naar han havde sin,jord,for sig selv beliggende
1.5.2- side 33,nu med steen tang,jord,c
1.5.2- side 38,overlade ham min eyendoms,jord,og grund for at
1.5.2- side 50,falde paa den allerbeste,jord,i markerne andres derimod
1.5.2- side 50,at han fik mere,jord,i sit maal fordi
1.5.2- side 50,megen og slet ufrugtbar,jord,for den som forhen
1.5.2- side 50,maaske svare den slette,jord,kan ved flid og
1.5.2- side 51,etableres paa den dyrkværdige,jord,som skulde anvendes til
1.5.2- side 52,kortere maade at bøndernes,jord,for hver gaards hartkorn
1.5.2- side 52,lods-eyer har mere samlet,jord,i markerne end til
1.5.2- side 52,mark-naboes sæd den yderste,jord,som er længst borte
1.5.2- side 53,hartkorns størrelse al den,jord,som de nu haver
1.5.2- side 54,hver fik al sin,jord,som den tilkom i
1.5.2- side 54,benytte sig af sin,jord,al jorden bekom ogsaa
1.5.2- side 55,drive thi jo mindre,jord,bonden har jo bedre
1.5.2- side 56,tienestefolk meget af hans,jord,bliver da kuns maadelig
1.5.2- side 56,gaarden og saa megen,jord,forsømt til stor tab
1.5.2- side 56,lolland efter 4 slags,jord,saaledes den 1ste og
1.5.2- side 56,1ste og beste slags,jord,hvoraf beregnes paa 1
1.5.2- side 56,3 tønders udsæd eller,jord,af 42000 qvadrat alen
1.5.2- side 57,6 tønders udsæd eller,jord,af 84000 qvadrat alen
1.5.2- side 57,9 tønders udsæd eller,jord,af 126000 qvadrat alens
1.5.2- side 57,første og beste slags,jord,kan med egen hielp
1.5.2- side 57,en plov forsvarlig drive,jord,idet høyeste til 5
1.5.2- side 57,2de første slags sæde,jord,som er af stærk
1.5.3- side 17,17 bryde,jord,op til agerland og
1.5.3- side 18,hver bye fik sin,jord,for sig selv og
1.5.3- side 18,enhver bonde blev udlagt,jord,til en fuldkommen frugthave
1.5.3- side 19,han har saa megen,jord,som kan give ham
1.5.3- side 29,maa lade sin egen,jord,ligge udyrket og følgelig
1.5.3- side 30,af de øvrige bønders,jord,i brug for disse
1.5.3- side 31,faae enhver bonde sin,jord,udmaalet og tildeelt men
1.5.4- side 57,legeme skal blive til,jord,hvoraf det er taget
1.5.5- side 4,ild luft vand og,jord,jo indeholder al den
1.5.5- side 7,af stene eller sandig,jord,hvorudi var indblandet guldstev
1.5.5- side 7,guld af de stene,jord,eller andre bergarter som
1.5.5- side 10,materie havtang og qvarksandagtig,jord,med mere deslige som
1.5.5- side 53,men dog indeholder dyrkningsværdig,jord,af saadan beskaffenhed at
1.5.5- side 58,fremsettende eller antreffende salpeterfødende,jord,derimod udi sterk frost
1.5.5- side 62,indlegges to skiepper salpeter,jord,samt 1/8 skieppe kalk
1.5.5- side 68,hartkorn som den brugende,jord,vr at sat i
1.5.5- side 102,fjelde klipper jordbakker flad,jord,og vande nemlig hav-søe
1.5.5- side 107,berg og landmaalings redskaber,jord,og berg-boerer berg-sprængnings og
1.5.5- side 124,ild luft vand og,jord,steenriget dermed indbegreben antegnes
1.5.6- side 8,dertil uden hvilket hverken,jord,guld eller sølv er
1.5.6- side 8,kunde eye en strækning,jord,af en snees miile
1.5.6- side 26,skiærpet ligesom en ufrugtbar,jord,ved dyrkelse bringes til
1.5.6- side 38,ikke dyrkelsen af vor,jord,det første som behøver
1.5.7- side 6,kun en ringe plet,jord,er i følge med
1.5.7- side 6,boeliger forsynede med noget,jord,brug lidet eller meget
1.5.7- side 10,indretninger a hidtil udyrket,jord,findes paa adskillige stæder
1.5.7- side 11,9,jord,for sig selv jeg
1.5.7- side 11,er at have sin,jord,omkring sin gaard og
1.5.7- side 11,bønder at den beste,jord,ofte ligger saa langt
1.5.7- side 11,paa denne allerede dyrkede,jord,kunde boe flere familier
1.5.7- side 12,have i almindelighed mere,jord,end de nb vel
1.5.7- side 13,i hver vang denne,jord,skulde inddeeles i saa
1.5.7- side 19,er det nogenlunde god,jord,og man kand overkomme
1.5.7- side 20,indføres huusmanden deeler sin,jord,i 6 agre 1
1.5.7- side 22,gaard skulle miste mere,jord,end en anden om
1.5.7- side 22,fik mere eller bedre,jord,end
1.5.7- side 27,bondegaard burde have faamegen,jord,som med 6 bester
1.5.8- side 31,31 huusbondens,jord,som derved ville tilveyebringes
1.5.8- side 37,behandler og dyrker sin,jord,eller hvorledes hans agerbrugs
1.5.9- side 37,dets sted et stykke,jord,i hver af byens
1.5.9- side 48,gaard og dyrke deres,jord,med videre men som
1.5.10- side 51,bruger noget af bondens,jord,og saadant de saaer
1.5.11- side 12,om ikke den hele,jord,har almindelige langsomme og
1.6.1- side 7,beboere bortfæstet eller leiet,jord,3 i hver by
1.6.1- side 7,tilfælles indhegnet en strekning,jord,fra det almindelige fælleskab
1.6.1- side 9,blandede i andre byers,jord,endskiønt hver mand har
1.6.1- side 9,have saare liden god,jord,som nu ligger midt
1.6.1- side 9,imellem den paagrændsende byes,jord,og den skal de
1.6.1- side 9,er den anden byes,jord,som ligger iblant deres
1.6.1- side 9,end deres egen øvrige,jord,hvo der veed hvor
1.6.1- side 9,et desstørre stykke slet,jord,vel bør denne forskiel
1.6.1- side 9,betragtning naar en mands,jord,skal vurderes til skat
1.6.1- side 10,10 valent kan slet,jord,aldrig blive for god
1.6.1- side 10,aldrig blive for god,jord,den slette store strekning
1.6.1- side 10,strekning af den gode,jord,og hvad den igien
1.6.1- side 10,den ringe andeel god,jord,som byen maaskee har
1.6.1- side 11,adskilte og fremmede byers,jord,udskiftet førend der kan
1.6.1- side 13,beboere faae al deres,jord,paa sandbanker eller imellem
1.6.1- side 14,længde har indtaget mere,jord,at dyrke da enken
1.6.1- side 14,mand kan faae sin,jord,tildelt paa eet sted
1.6.1- side 14,som faaer al sin,jord,paa sandbanker eller høie
1.6.1- side 14,har ikkun eet slags,jord,blive i stand at
1.6.1- side 15,15 slags,jord,imod som han har
1.6.1- side 15,de som faae deres,jord,tildeel længst bort fra
1.6.1- side 15,vanskeligheden skal al byens,jord,deles om og hver
1.6.1- side 15,hver faae al sin,jord,paa eet sted da
1.6.1- side 16,vaar-korn med mere ingen,jord,vil det aar blive
1.6.1- side 16,han beholder ikke den,jord,som han skal giøde
1.6.1- side 18,et særdeles got stykke,jord,som hans fællesbrødre ikke
1.6.1- side 20,mark foretager en byes,jord,efter den anden fremkalder
1.6.1- side 21,meget muelig lige god,jord,hvorefter gierdets sted bør
1.6.1- side 21,der ikke faae god,jord,igien eller ved det
1.6.1- side 21,gierdet gaaer over deres,jord,erstattes dem af samtlige
1.6.1- side 21,have indhegnet deres beqvemmeste,jord,og derover allerede faaet
1.6.1- side 24,og tilmaales hver sin,jord,samlet paa eet to
1.6.1- side 25,den inddeler al byens,jord,i fem eller sex
