word,count
bonden,620
mere,482
intet,417
aar,375
folk,366
landet,352
tid,336
andet,334
penge,296
nytte,282
mindre,277
bønderne,277
bedre,276
bønder,275
bonde,263
stor,258
deraf,254
kand,250
store,246
imod,246
første,244
dertil,244
ting,244
bør,243
vare,239
tillige,238
steder,235
sige,234
sted,234
mand,232
gode,231
slags,229
4,224
derimod,223
egen,222
god,210
a,210
2,208
ligesaa,206
aldrig,206
beste,205
vore,203
fordeel,203
saadanne,200
større,199
jord,199
hvorledes,197
vores,195
hele,193
altsaa,193
holde,192
3,188
største,188
1,188
rdlr,187
flere,186
betale,185
ret,185
almindelige,182
heller,182
samt,180
stand,179
ellers,176
seer,174
aarlig,166
bondens,165
arbeyde,164
korn,162
gaaer,162
rette,162
dersom,161
burde,159
arbeide,159
nye,159
meere,159
lidet,158
tanker,158
synes,157
gaae,156
staten,155
tage,152
troer,149
land,148
børn,148
got,148
strax,146
faaer,145
saavel,145
hvorved,145
videre,145
6,144
mindste,144
tider,142
eders,140
herre,139
dens,138
almindelighed,138
længe,138
landets,137
skee,136
findes,136
skade,136
ofte,136
kongen,136
trekholt,136
hvilket,135
bleve,134
8,133
fleste,132
hoverie,132
troe,131
to,131
hartkorn,131
jorden,130
først,130
5,128
mangel,127
hvilken,127
10,127
saasom,126
henseende,126
tønder,125
grund,124
lader,123
gaard,123
danske,122
sag,122
foruden,121
faa,120
rigets,120
giver,120
gamle,120
forfatteren,120
skeer,118
hosbonden,118
gods,118
visse,118
egne,117
maaskee,116
beskaffenhed,115
derpaa,115
gierne,114
brug,113
sidste,112
alene,111
ene,111
tilstand,111
frie,111
hvilke,111
eget,111
begge,111
hvoraf,110
b,110
engang,109
borgeren,109
imellem,109
almindelig,109
vide,109
nyttige,108
gaarden,108
deels,108
snart,107
aarsag,107
staaer,106
fik,106
giort,106
lad,106
tiden,106
fremmede,106
forandring,105
altid,105
formedelst,105
tale,105
især,105
øvrige,105
slet,104
best,103
finde,103
c,102
desuden,101
liden,100
mennesker,100
overalt,99
eder,99
følger,99
hoveriet,98
rige,97
nemlig,97
før,97
dermed,97
sagt,97
kuns,96
finder,95
nødvendig,95
hverken,94
allerede,94
hvorfor,94
lande,93
følgelig,93
tilfælde,93
20,92
gud,92
tab,92
tvende,91
leve,91
nærværende,91
fattige,91
handel,91
mens,90
søge,90
neppe,90
aldeles,89
heste,89
havt,88
indsigt,88
indretning,88
statens,88
hvem,88
midler,87
skatter,87
falder,87
bekostning,87
antal,87
hvortil,87
dets,86
just,86
tør,86
saae,85
igel,85
forhen,85
vis,84
magt,84
saadant,84
tieneste,84
frem,84
iblant,83
svare,83
tønde,83
redlig,83
lov,83
drift,82
dage,82
tiid,82
endelig,82
fornødne,81
ringe,81
forhold,81
fire,81
løn,81
bleven,81
skyld,81
hosbond,80
gang,80
meer,79
bøndernes,79
tiene,79
staae,79
inden,79
mueligt,78
holder,78
omstændigheder,78
behøves,78
maader,77
tre,77
onde,77
hvert,77
megen,77
7,76
hr,76
fald,75
følge,75
tilbage,75
side,75
steden,75
gaarde,75
adskillige,75
føde,75
verden,75
proprietairen,74
drive,74
forbedring,74
behøver,73
ligger,73
hensigt,72
navn,72
virkelig,72
stedse,72
søren,72
førend,71
derom,71
let,71
sætte,71
bruge,71
naturlige,71
bondestanden,71
marker,70
priis,70
fleere,70
12,70
næsten,69
meest,69
gange,69
vise,69
hielp,69
ganske,69
kiøbe,69
forrige,69
dele,68
grunde,68
kom,68
helst,68
frihed,68
ikkun,68
ære,68
mængde,68
øde,66
kongelige,66
herved,66
sæd,66
nyttig,66
forstaaer,66
menneske,66
riges,66
hvo,65
undertiden,65
hinanden,65
kiøbenhavn,65
skat,65
bort,65
jesper,65
mænd,65
forfatning,65
skadelige,64
falde,64
sandhed,64
indtil,64
føre,64
tænke,64
love,64
erfarenhed,64
villie,64
derefter,64
forordningen,63
alting,63
exempel,63
nyde,62
aars,62
kongens,62
fordele,62
godt,62
9,62
sagde,62
halv,62
hielpe,61
kort,61
bruges,61
holdes,61
ar,60
endda,60
anledning,60
tilforn,60
billig,60
afgift,60
eyendom,59
hænder,59
vilkaar,59
skrive,59
kundskab,59
giøres,59
nær,59
riget,59
deslige,59
nødvendige,59
saavidt,59
byrde,59
velstand,59
mark,58
bye,58
ansees,58
sælge,58
tager,58
hen,57
brød,57
lyst,57
muelig,57
stort,57
karl,57
30,57
friehed,57
person,56
regieringen,56
kiender,56
fader,56
15,56
hendrik,56
middel,56
givet,56
endeel,56
eyere,56
forordninger,56
befordre,56
14,56
gives,55
orden,55
fornemmelig,55
andres,55
forslag,54
sær,54
16,54
fornøden,54
sikkerhed,54
pag,54
guds,54
tilstaae,54
indretninger,54
vente,54
huus,54
sande,54
bære,54
kræfter,53
ethvert,53
formue,53
dyre,53
tredie,53
særdeles,53
derfore,53
høre,52
gandske,52
kornet,52
40,52
ak,52
liv,52
saavelsom,52
nei,52
gield,52
13,52
leylighed,51
konge,51
hundrede,51
fuldkommen,51
hører,51
unge,51
proprietair,51
kiende,51
dannemark,51
hoveriets,51
sandt,51
byer,51
par,50
sk,50
skadelig,50
norge,50
kiøbstæderne,50
forrette,50
derhos,50
taler,49
klage,49
fornærmelse,49
bestaae,49
forud,49
tages,49
omkring,49
eneste,49
saasnart,49
ophold,49
marken,49
ringeste,48
opkomst,48
siges,48
ligge,48
proprietairer,48
billighed,48
derover,48
materie,48
eene,48
dagen,48
smaae,48
næring,47
